"name","author","narrator","releasedate","language","hours","mins","total_time_mins","price","avg_rating","max_rating","nr_of_ratings"
"Das Tri Tra Trampeltier, das stri stra strampelt hier",Stefanie Schweizer,"Jodie Leslie Ahlborn, Thomas Greis","2017-09-25",German,1,7,67,334.00,,5,"0"
Vivaldi,Cosima Breidenstein,Cosima Breidenstein,"2018-02-22",German,1,9,69,334.00,,5,"0"
Der Fahrstuhl zum Mond und andere Geschichten,Robert Lang,"Robert Lang, Julian Valerio Rehrl","2017-03-01",German,1,3,63,233.00,,5,"0"
Romeo and Juliet,Adam McKeown,Roscoe Orman,"2009-04-21",English,2,27,147,266.00,,5,"0"
Das Schnurpsenbuch,Michael Ende,Peter Kaempfe,"2016-07-28",German,1,10,70,233.00,,5,"0"
Bach,Cosima Breidenstein,Cosima Breidenstein,"2014-03-27",German,1,9,69,367.00,,5,"0"
Sterling Biographies,Rita Thievon Mullin,Kevin Pariseau,"2009-04-20",English,2,44,164,266.00,,5,"0"
Famous Composers,Darren Henley,Aled Jones,"2012-04-04",English,2,16,136,422.00,,5,"0"
A Song for Summer,Eva Ibbotson,Emilia Fox,"2009-06-08",English,3,57,237,323.00,,5,"0"
Charlie Joe Jackson's Guide to Extra Credit,Tommy Greenwald,Mac Leod Andrews,"2012-08-07",English,4,26,266,469.00,,5,"0"
Pete Milano's Guide to Being a Movie Star,Tommy Greenwald,Michael Crouch,"2015-12-27",English,3,59,239,469.00,,5,"0"
Zauberwort,Rita Harenski,"Sabine Postel, Peter Lieck, Friedhelm Ptok","2012-04-03",German,1,27,87,401.00,,5,"0"
Gute Nacht Geschichten,Svenvon Strauch,Svenvon Strauch,"2014-01-10",German,1,4,64,99.00,,5,"0"
Les aventures de Guignol,Éric Herbette,Daniel Mesguich,"2016-11-15",French,1,10,70,528.00,,5,"0"
Der Lukas Rieger Code,"Lukas Rieger, Josip Radović",Lukas Rieger,"2017-11-06",German,5,26,326,267.00,,5,"0"
The Misadventures of the Family Fletcher,Dana Alison Levy,Dan Woren,"2014-07-22",English,5,39,339,904.00,,5,"0"
Happy Child,"Franziska Diesmann, Torsten Abrolat","Franziska Diesmann, Torsten Abrolat","2012-10-11",German,2,10,130,334.00,,5,"0"
Gustav und die rosarote Wolke Penelope 2,Christel Maria Zwillus,Barbara Frey,"2014-02-07",German,1,40,100,501.00,,5,"0"
Die kleine Mundharmonika,Chris Kramer,Chris Kramer,"2015-06-18",German,1,10,70,334.00,,5,"0"
"Calm Child: Entspannung, Ausgeglichenheit, besser Einschlafen",Franziska Diesmann,Franziska Diesmann,"2011-06-01",German,1,17,77,334.00,,5,"0"
Max und Moritz und andere Geschichten,lhelm Busch,Stefan Kaminski,"2009-04-16",German,2,28,148,267.00,,5,"0"
Die schönsten griechischen Sagen,Dimiter Inkiow,Peter Kaempfe,"2014-01-20",German,1,18,78,233.00,,5,"0"
Capitaine Fracasse,Théophile Gautier,Xavier Gallais,"2016-07-25",French,3,35,215,604.00,,5,"0"
Indigara,Tanith Lee,Amy Palant,"2018-04-24",English,3,40,220,754.00,,5,"0"
Who Was Jim Henson?,Joan Holub,Paul Boehmer,"2017-01-03",English,1,3,63,351.00,,5,"0"
Marty McGuire,"Kate Messner, Brian Floca",Cassandra Morris,"2011-05-01",English,1,41,101,469.00,,5,"0"
Magic Flutes,Eva Ibbotson,Teresa Gallagher,"2009-05-01",English,3,23,203,323.00,,5,"0"
"She Loves You (Yeah, Yeah, Yeah)",Ann Hood,Holly Linneman,"2018-06-26",English,4,45,285,754.00,,5,"0"
Rescuing Seneca Crane,Susan Runholt,Krista Sutton,"2009-12-08",English,6,34,394,904.00,,5,"0"
Starring Jules (As Herself),Beth Ain,Cassandra Morris,"2014-01-20",English,1,32,92,410.00,,5,"0"
The Fall Musical,Peter Lerangis,Suzy Meyers,"2018-04-03",English,5,40,340,904.00,,5,"0"
Lives of the Musicians,Kathleen Krull,"John C. Brown, Melissa Hughes","1999-12-15",English,1,55,115,350.00,,5,"0"
"60 Toddler Learning Songs","Kim Mitzo Thompson, Karen Mitzo Hilderbrand, Twin Sisters",Twin Sisters,"2012-01-25",English,1,46,106,140.00,,5,"0"
The Story of Classical Music,Darren Henley,Marin Alsop,"2004-12-26",English,4,34,274,534.00,,5,"0"
Clair-de-Lune,Cassandra Golds,Stanley McGeagh,"2008-10-31",English,5,16,316,820.00,,5,"0"
Chomp,Carl Hiaasen,James Van Der Beek,"2012-03-27",English,6,10,370,1105.00,,5,"0"
Mahalia Jackson,Montrew Dunham,Pam Ward,"2007-04-25",English,1,54,114,468.00,,5,"0"
Mao's Last Dancer,Li Cunxin,Paul English,"2012-12-18",English,8,59,539,702.00,,5,"0"
Famous Composers,Darren Henley,Marin Alsop,"2004-12-26",English,2,17,137,333.00,,5,"0"
Emily,Emily Smucker,Khristine Hvam,"2009-10-26",English,3,5,185,568.00,,5,"0"
"Come Sing, Jimmy Jo",Katherine Paterson,Melba Sibrel,"2018-02-06",English,6,21,381,904.00,,5,"0"
Dave at Night,Gail Levine,Johnny Heller,"2015-02-11",English,6,21,381,703.00,,5,"0"
To Wee or Not to Wee,Pamela Butchart,Susan Calman,"2017-12-01",English,1,8,68,266.00,,5,"0"
Harper and the Circus of Dreams,Cerrie Burnell,Cerrie Burnell,"2017-09-15",English,1,33,93,508.00,,5,"0"
Who Was Bob Marley?,Katie Ellison,Adenrele Ojo,"2017-06-06",English,1,3,63,351.00,,5,"0"
The Main Event,Patrick Jones,Intuitive,"2017-04-19",English,1,32,92,469.00,,5,"0"
A Good Night for Ghosts,Mary Pope Osborne,Mary Pope Osborne,"2009-07-28",English,1,25,85,402.00,,5,"0"
American Latin Music,Matt Doeden,Intuitive,"2017-04-18",English,1,7,67,469.00,,5,"0"
American Rock,Erik Farseth,Intuitive,"2017-04-18",English,1,18,78,469.00,,5,"0"
American Country,Lloyd Sachs,Intuitive,"2017-04-18",English,1,25,85,469.00,,5,"0"
American R & B,Aaron Mendelson,Intuitive,"2017-04-18",English,1,15,75,469.00,,5,"0"
American Pop,Arie Kaplan,Intuitive,"2017-04-18",English,1,18,78,469.00,,5,"0"
Schnick Schnack Schabernack,"Renate Raecke, Monika Blume","Stefan Kaminski, Ursula Illert, Sascha Icks","2013-01-28",German,1,2,62,233.00,,5,"0"
Die lustigsten Kindergarten-Geschichten,"Marliese Arold, Antonia Michaelis, Henriette Wich","Matthias Haase, Jutta Richter","2014-01-20",German,1,18,78,334.00,,5,"0"
"Abends, wenn der Sandmann kommt",Sandra Grimm,"Ina Gercke, Dominik Freiberger, Ingeborg Wunderlich","2012-04-12",German,1,4,64,334.00,,5,"0"
Gruselig,"Paul Maar, Dimiter Inkiow, Sandra Grimm",Friedhelm Ptok,"2017-07-24",German,1,18,78,334.00,,5,"0"
"Billie Jazz - tome 1 [Billie Jazz, Volume 1]",Geneviève Guilbault,Edith Cochrane,"2020-07-24",French,2,8,128,441.00,,5,"0"
Alien Superstar,"Henry Winkler, Lin Oliver",Henry Winkler,"2019-10-01",English,5,1,301,703.00,,5,"0"
Harry Houdini,Kjartan Poskitt,Pete Cross,"2019-08-13",English,2,35,155,1172.00,,5,"0"
Harper and the Fire Star,Cerrie Burnell,Cerrie Burnell,"2018-09-10",English,1,50,110,573.00,,5,"0"
The Backstagers and the Final Blackout,Andy Mientus,Andy Mientus,"2020-03-31",English,3,46,226,1172.00,,5,"0"
A Beautiful Day in the Neighborhood,"Fred Rogers, Luke Flowers","John Lithgow, Kate Mulgrew","2019-03-19",English,1,23,83,653.00,,5,"0"
Not in the Script,Amy Finnegan,Vanessa Johansson,"2014-10-07",English,10,32,632,836.00,,5,"0"
Love Disguised,Lisa Klein,Lucy Scott,"2013-11-07",English,7,48,468,668.00,,5,"0"
"60 Silly and Playtime Songs","Twin Sisters, Kim Mitzo Thompson, Karen Mitzo Thompson",Twin Sisters,"2012-01-01",English,1,49,109,140.00,,5,"0"
Night on Terror Island,Philip Caveney,Daniel Hill,"2011-09-01",English,4,28,268,467.00,,5,"0"
"Seriously Sassy: Pinch Me, I'm Dreaming",Maggi Gibson,India Fisher,"2011-08-22",English,5,3,303,512.00,,5,"0"
Spy Another Day,Philip Caveney,Daniel Hill,"2012-06-13",English,4,34,274,467.00,,5,"0"
The Cruisers: A Star Is Born,alter Dean Myers,Kevin R. Free,"2012-08-01",English,2,52,172,469.00,,5,"0"
Breakout,Paul Fleischman,Richard Harries,"2009-08-20",English,3,21,201,469.00,,5,"0"
Fizzlebert Stump and the Bearded Boy,A. F. Harrold,Daniel Hill,"2014-10-14",English,3,15,195,501.00,,5,"0"
Fizzlebert Stump: The Boy Who Cried Fish,A. F. Harrold,Daniel Hill,"2014-09-30",English,3,25,205,501.00,,5,"0"
The TV Time Travellers,Pete Johnson,Glen McCready,"2010-07-02",English,4,25,265,467.00,,5,"0"
Jenna and Jonah's Fauxmance,"Emily Franklin, Brendan Halpin","Jessica Almasy, Andy Paris","2011-09-30",English,6,45,405,495.00,,5,"0"
"Three-Ring Rascals, Books 3-4","Kate Klise, M. Sarah Klise-contributor","Robbie Daymond, Todd Haberkorn, John H. Mayer","2015-05-05",English,2,48,168,904.00,,5,"0"
"Three-Ring Rascals, Books 1-2","Kate Klise, M. Sarah Klise-contributor","Robbie Daymond, Todd Haberkorn, John H. Mayer","2015-05-05",English,3,4,184,904.00,,5,"0"
Who Was Maria Tallchief?,Catherine Gourley,Hillary Huber,"2016-08-02",English,1,13,73,351.00,,5,"0"
"44 Tiny Secrets",Sylvia Bishop,Imogen Sage,"2020-07-23",English,2,13,133,664.00,,5,"0"
Journey of Columbus,Melinda Lilly,uncredited,"2009-05-21",English,0,4,4,65.00,,5,"0"
The Secret Starling,Judith Eagle,Tania Rodrigues,"2020-01-15",English,5,37,337,797.00,,5,"0"
Who Was Mister Rogers?,"Diane Bailey, Who HQ",Leon Nixon,"2019-10-01",English,1,2,62,351.00,,5,"0"
Who Was Harry Houdini?,Tui T. Sutherland,Kevin Pariseau,"2019-03-26",English,1,18,78,351.00,,5,"0"
Summer's Dream,Cathy Cassidy,Eleanorde Rohan,"2017-06-15",English,4,52,292,547.00,,5,"0"
Rossini!,Matthieu Mantanus,Alessandro Pili,"2021-01-06",Italian,2,38,158,190.00,,5,"0"
Harald Blåtand. Nordens mægtigste konge,Boetefter Jørgen Liljensøe,Thomas Jacob Clausen,"2022-04-04",Danish,1,12,72,133.00,,5,"0"
I Will Protect You,"Eva Mozes Kor, Danica Davidson-contributor",Barrie Kreinik,"2022-04-05",English,4,7,247,500.00,,5,"0"
Fantastically Great Women,Kate Pankhurst,"Kate Pankhurst, Adjoa Andoh, Harriet Carmichael","2021-10-14",English,2,41,161,1215.00,,5,"0"
Good Night Stories for Rebel Girls: 100 Real-Life Tales of Black Girl Magic,"Lilly Workneh, Sonja Thomas, Jestine Ware","Samira Wiley, Philomena Kwao, Lovie Simone","2021-09-28",English,3,32,212,657.00,,5,"0"
Teddy Roosevelt Was a Moose,Dan Gutman,"Kimberly Woods, Evan Lewis Smith","2022-03-29",English,1,14,74,305.00,,5,"0"
Nikola Tesla - Ein Genie unter Strom,Sandra Pfitzner,"Marit Beyer, Max Tuveri, Bosse Koch","2022-04-01",German,1,21,81,267.00,,5,"0"
Star Child,Ibi Zoboi,"Ibi Zoboi, Robin Miles","2022-01-25",English,1,30,90,1156.00,,5,"0"
Kid Innovators,Robin Stevenson,Elisabeth Rodgers,"2021-05-04",English,3,7,187,585.00,,5,"0"
APJ Abdul Kalam,Sudha Umashanker,Oliver Hembrough,"2021-03-04",English,2,36,156,410.00,,5,"0"
Fantastically Great Women Artists and Their Stories,Kate Pankhurst,"Kate Pankhurst, Aysha Kala, Laurence Bouvard","2022-02-03",English,2,11,131,493.00,,5,"0"
Fantastically Great Women Scientists and Their Stories,Kate Pankhurst,"Kate Pankhurst, Aysha Kala, Laurence Bouvard","2022-02-03",English,1,56,116,493.00,,5,"0"
The Making of America: Volume 2,Teri Kanefield,"Joyce Bean, David Sadzin, Chris Lutkin","2022-02-15",English,13,1,781,1172.00,,5,"0"
The Founders Unmasked,"Jennifer Sabin, Christopher Sebastian Parker","Julienne Irons, Jennifer Sabin","2022-02-15",English,3,3,183,754.00,,5,"0"
Writers,"DK, James Naughtie",Karen Cass,"2019-12-05",English,17,33,1053,1093.00,,5,"0"
The Extraordinary Life of Nelson Mandela,"Ashley Evans, E. L. Norry",Theo Solomon,"2020-10-08",English,1,14,74,410.00,,5,"0"
A Timeline of Presidential Elections,Barbara Krasner,Anonymous,"2022-03-08",English,1,7,67,117.00,,5,"0"
Who Was Marie Curie?,Megan Stine,Sarah Scott,"2016-03-01",English,1,5,65,351.00,,5,"0"
Lady Icarus,Deborah Noyes,Suzanne Toren,"2022-03-08",English,3,24,204,703.00,,5,"0"
The Silk Roads,Peter Frankopan,Peter Frankopan,"2021-07-08",English,2,34,154,1025.00,,5,"0"
Rolling Warrior,"Judith Heumann, Kristen Joiner",Ali Stroker,"2021-07-03",English,3,58,238,1105.00,,5,"0"
Adventures in Time: The Six Wives of Henry VIII,Dominic Sandbrook,Dominic Sandbrook,"2021-07-01",English,7,6,426,888.00,,5,"0"
Albert Einstein,Kathleen Krull,Tavia Gilbert,"2020-03-17",English,2,34,154,585.00,,5,"0"
Gods and Goddesses of Ancient Egypt,Morgan E. Moroney,Holly Fielding,"2020-04-14",English,2,8,128,233.00,,5,"0"
Fanny Crosby,Lucille Travis,Alana Kerr Collins,"2018-10-09",English,4,8,248,703.00,,5,"0"
New Testament Bible Stories for Children with 100 Children's Bible Songs,American Bible Society,fullcast,"2016-10-25",English,19,10,1150,938.00,,5,"0"
Kobe Bryant,Matt Christopher,Cary Hite,"2021-01-05",English,3,35,215,500.00,,5,"0"
Jacky Daydream,Jacqueline Wilson,Jacqueline Wilson,"2007-12-04",English,6,36,396,664.00,,5,"0"
Who Is Jeff Kinney?,Patrick Kinney,Ramónde Ocampo,"2016-06-07",English,1,4,64,351.00,,5,"0"
So Other People Would Be Also Free,Tonya Leslie Ph D,Joniece Abbott-Pratt,"2019-11-05",English,1,32,92,233.00,,5,"0"
Isaac Newton,Kathleen Krull,Tavia Gilbert,"2019-12-17",English,1,57,117,468.00,,5,"0"
Black Women in Science,Kimberly Brown Pellum Ph D,Joniece Abbott-Pratt,"2020-02-10",English,2,28,148,233.00,,5,"0"
Horrible Histories: Stormin’ Normans,"Terry Deary, Martin Brown",Terry Deary,"2014-03-27",English,1,4,64,379.00,,5,"0"
Who Was Walt Whitman?,"Kirsten Anderson, Who HQ",Adenrele Ojo,"2021-02-02",English,1,1,61,351.00,,5,"0"
Joe Biden,Beatrice Gormley,Jim Seybert,"2021-03-23",English,5,42,342,469.00,,5,"0"
DK Life Stories: Nelson Mandela,Stephen Krensky,Joseph Balderrama,"2021-06-24",English,1,38,98,410.00,,5,"0"
Stamped (For Kids),"Sonja Cherry-Paul-adaptation, Rachelle Baker-Illustrator, Ibram X. Kendi",Pe'Tehn Raighn-Kem Jackson,"2021-06-15",English,2,22,142,500.00,,5,"0"
DK Life Stories: Albert Einstein,l Mara,Joseph Balderrama,"2021-06-24",English,1,44,104,410.00,,5,"0"
"Not-So-Great Presidents: Failures, Frauds, and Cover-Ups (Epic Fails, Book 3)","Ben Thompson, Erik Slader",L. J. Ganser,"2019-06-10",English,1,55,115,305.00,,5,"0"
What is the Constitution?,"Patricia Brennan Demuth, Who HQ",Kathleen McInerney,"2018-06-19",English,1,7,67,351.00,,5,"0"
Sigmund Freud,Kathleen Krull,Tavia Gilbert,"2020-01-14",English,2,38,158,585.00,,5,"0"
Mohandas Gandhi,Anne M. Todd,Vaishali Sharma,"2012-03-12",English,2,34,154,536.00,,5,"0"
Marni,Marni Bates,Katherine Kellgren,"2009-11-12",English,3,25,205,568.00,,5,"0"
The Captive Princess: A Story Based on the Life of Young Pocahontas,dy Lawton,Jill Monaco,"2018-09-18",English,3,24,204,516.00,,5,"0"
The Wright Brothers,"Tara Dixon-Engel, Mike Jackson",Knighton Bliss,"2009-12-30",English,2,1,121,266.00,,5,"0"
Who Is J. K. Rowling?,"Pamela D. Pollack, Meg Belviso",Cassandra Campbell,"2016-06-07",English,1,5,65,351.00,,5,"0"
Horrible Histories: Vile Victorians,"Terry Deary, Martin Brown",Terry Deary,"2014-03-27",English,1,2,62,379.00,,5,"0"
Corrie Ten Boom: The Watchmaker's Daughter,Jean Watson,Ann Richardson,"2017-10-15",English,4,28,268,703.00,,5,"0"
On the Court with...LeBron James,"Matt Christopher, Stephanie Peters",Jacobi Hollingshed,"2017-05-16",English,3,32,212,500.00,,5,"0"
Eleanor Roosevelt,Russell Freedman,Barbara Caruso,"2008-02-27",English,3,38,218,609.00,,5,"0"
Small Acts of Amazing Courage,Gloria Whelan,Mandy Williams,"2011-04-26",English,4,26,266,754.00,,5,"0"
Puffin Lives: Sunita Williams,Aravinda Anatharaman,Rohini Vij,"2021-03-23",English,2,16,136,377.00,,5,"0"
What Linnaeus Saw,Karen Magnuson Beil,Jonathan Todd Ross,"2019-10-01",English,5,19,319,703.00,,5,"0"
Writing Radar,Jack Gantos,Jack Gantos,"2017-08-29",English,3,27,207,74.00,,5,"0"
Picture Gandhi,Sandhya Rao,Tuhin Menon,"2022-03-24",English,0,30,30,165.00,,5,"0"
Rashford/Kane,"Tom Oldfield, Matt Oldfield","Joe Jameson, Jude Owusu","2021-05-27",English,5,36,336,1138.00,,5,"0"
Shannen and the Dream for a School,Janet Wilson,Pamela Matthews,"2021-05-15",English,4,25,265,469.00,,5,"0"
Hiding Edith,Kathy Kacer,Gabi Epstein,"2021-05-15",English,3,56,236,469.00,,5,"0"
DK Life Stories Queen Elizabeth II,"DK, Brenda Williams, Brian Williams",Penelope Rawlins,"2021-05-20",English,1,49,109,410.00,,5,"0"
¡Rivales! Enemistades que cambiaron el mundo,Scott McCormick,"Raul García Arrondo, Manuel Pico, Ivan Villanueva","2021-04-07",Spanish,3,11,191,836.00,,5,"0"
Leonardo,Stefano Zuffi,Alessandro Pazzi,"2021-04-14",Italian,2,16,136,190.00,,5,"0"
We Got Game!,"Aileen Weintraub, Sarah Green-illustrator",Sarah Mollo-Christensen,"2021-05-04",English,2,3,123,500.00,,5,"0"
I Am Not a Label,"Cerrie Burnell, Lauren Mark Baldo-illustrator",Cerrie Burnell,"2021-05-05",English,1,27,87,305.00,,5,"0"
DK Life Stories: Florence Nightingale,Kitson Jazynka,Penelope Rawlins,"2021-04-29",English,1,27,87,410.00,,5,"0"
DK Life Stories: Alexander Hamilton,James Buckley Jr,Joseph Balderrama,"2021-04-29",English,1,31,91,410.00,,5,"0"
Puffin Lives: Mahatma Gandhi,Subhadra Sen Gupta,Rohini Vij,"2021-04-22",English,4,9,249,502.00,,5,"0"
Birds,Pamela Dell,anonymous,"2022-03-03",English,0,18,18,93.00,,5,"0"
Who Was Isaac Newton?,"Janet B. Pascal, Who HQ",Elliot Hill,"2018-06-05",English,1,9,69,351.00,,5,"0"
I Will Always Write Back,"Martin Ganda, Caitlin Alifirenka, Liz Welch","Chukwudi Iwuji, Emily Bauer","2015-04-14",English,8,51,531,500.00,,5,"0"
"Spies, Code Breakers, and Secret Agents",Carole P. Roman,Lily Ganser,"2020-03-03",English,2,18,138,233.00,,5,"0"
"I Survived the Battle of D-Day, 1944",Lauren Tarshis,P. J. Ochlan,"2019-01-29",English,2,8,128,328.00,,5,"0"
Who Was Gandhi?,"Dana Meachen Rau, Who HQ",Vikas Adam,"2018-06-05",English,1,1,61,351.00,,5,"0"
Yes We Can,Garen Thomas,Roscoe Orman,"2008-09-30",English,3,39,219,333.00,,5,"0"
Little Leaders,Vashti Harrison,"ikki Amuka-Bird, Pippa Bennett-Warner, Cathy Tyson","2018-03-01",English,1,23,83,615.00,,5,"0"
Most Dangerous,Steve Sheinkin,Ray Porter,"2015-09-22",English,7,52,472,1156.00,,5,"0"
Frenemies in the Family,Kathleen Krull,Lisa Cordileone,"2018-03-13",English,3,59,239,754.00,,5,"0"
True Stories of Famous Americans,Elbridge Streeter Brooks,Jim Hodges,"2017-07-25",English,6,24,384,468.00,,5,"0"
Orphan Train Rider,Andrea Warren,Laura Hicks,"2013-04-01",English,1,26,86,468.00,,5,"0"
Nathan Hale,"LJKrizner, Lisa Sita",Benjamin Becker,"2009-02-02",English,1,24,84,266.00,,5,"0"
Sterling Biographies,Laurie Calkhoven,Roscoe Orman,"2009-04-28",English,1,47,107,266.00,,5,"0"
Rad American Women A-Z,"Kate Schatz, Miriam Klein Stahl","Bahni Turpin, Allyson Johnson","2016-08-16",English,1,14,74,233.00,,5,"0"
Child of the Dream,Sharon Robinson,Sharon Robinson,"2019-09-03",English,5,24,324,492.00,,5,"0"
DK Life Stories: Martin Luther King,Laurie Calkhoven,Joseph Balderrama,"2021-01-14",English,1,33,93,410.00,,5,"0"
Strongman,Kenneth C. Davis,"Cindy Kay, Terrence Kidd, Kenneth C. Davis","2020-10-06",English,5,12,312,754.00,,5,"0"
Hubble and the Big Bang,Paul Kupperberg,Jay Snyder,"2010-03-30",English,1,5,65,266.00,,5,"0"
Cuentos de buenas noches para niñas rebeldes,Elena Favilli,"Mariana Linares Cruz, Gina Jaramillo","2020-11-18",Spanish,4,28,268,499.00,,5,"0"
Mon cher Molière,Isabelle Wlodarczyk,Isabelle Wlodarczyk,"2020-11-19",French,1,44,104,376.00,,5,"0"
Ancients to Middle Ages,"Joe Giorello, Sibella Giorello",Daniel Giorello,"2020-10-28",English,2,19,139,164.00,,5,"0"
The Civil War,"Joe Giorello, Sibella Giorello",Daniel Giorello,"2020-10-28",English,5,12,312,234.00,,5,"0"
Through My Eyes: Ruby Bridges,Ruby Bridges,"Ruby Bridges, Ron Butler, Robin Miles","2020-11-10",English,2,12,132,328.00,,5,"0"
Out of Hiding,Ruth Gruener,sha Soudek,"2020-10-20",English,3,29,209,492.00,,5,"0"
A Hopeful Heart,Deborah Noyes,Cassandra Campbell,"2020-10-06",English,5,59,359,904.00,,5,"0"
Little Leaders: Exceptional Men in Black History,Vashti Harrison,Theo Solomon,"2020-10-22",English,2,6,126,410.00,,5,"0"
DK Life Stories: Amelia Earhart; Jane Goodall; Katherine Johnson,DK,Penelope Rawlins,"2020-11-05",English,4,40,280,410.00,,5,"0"
Anne Frank,"DK, Stephen Krensky",Penelope Rawlins,"2020-09-24",English,1,23,83,410.00,,5,"0"
Everest: The Remarkable Story of Edmund Hillary and Tenzing Norgay,Alexandra Stewart,Paul Panting,"2020-09-01",English,1,30,90,592.00,,5,"0"
História do mundo para as crianças [World History for Children],Monteiro Lobato,Léo Senna,"2020-07-09",Portuguese,10,43,643,836.00,,5,"0"
This Promise of Change,"Jo Ann Allen Boyce, Debbie Levy",Donna Allen,"2020-06-02",English,3,48,228,634.00,,5,"0"
American Trailblazers,Lisa Trusiani,Helen Laser,"2020-05-19",English,2,43,163,233.00,,5,"0"
Who Is David Beckham?,"Ellen Labrecque, Who HQ",Steve West,"2020-07-21",English,1,4,64,351.00,,5,"0"
Who Was Benedict Arnold?,"James Buckley, Who HQ",James Buckley Jr.,"2020-10-06",English,1,1,61,351.00,,5,"0"
"50 Fearless Women Who Made American History",Jenifer Bazzit,Therese Plummer,"2020-04-28",English,2,45,165,233.00,,5,"0"
Thurgood Marshall,Teri Kanefield,David Sadzin,"2020-04-21",English,4,29,269,1172.00,,5,"0"
Who Was Harvey Milk?,"Corinne A. Grinapol, Who HQ",Vikas Adam,"2020-05-19",English,1,8,68,351.00,,5,"0"
Soccer Stars on the Pitch,Tanya Keith,Helen Laser,"2020-03-10",English,2,31,151,233.00,,5,"0"
Baseball Biographies for Kids,Dean Burrell,James Edward Thomas,"2020-03-03",English,2,43,163,233.00,,5,"0"
Who Was Richard Nixon?,"Megan Stine, Who HQ",Stephen Graybill,"2020-03-03",English,1,1,61,351.00,,5,"0"
The World Cup,Matt Doeden,Book Buddy Digital Media,"2020-01-16",English,1,11,71,469.00,,5,"0"
A Sporting Chance,Lori Alexander,il Hellegers,"2020-04-07",English,1,17,77,1172.00,,5,"0"
Voices of the Titanic,Mary Montero,Erin Moon,"2020-01-07",English,1,43,103,233.00,,5,"0"
Kid Activists,Robin Stevenson,Pete Cross,"2020-03-03",English,2,45,165,1172.00,,5,"0"
Benjamin Franklin,Kathleen Krull,Tavia Gilbert,"2020-05-12",English,1,59,119,468.00,,5,"0"
Home of the Brave,Brooke Khan,Lily Ganser,"2020-01-07",English,2,31,151,233.00,,5,"0"
Fifty Famous People,James Baldwin,Michael Anthony,"2019-12-06",English,3,10,190,469.00,,5,"0"
Deadly Aim,Sally M. Walker,Darrell Dennis,"2019-11-13",English,5,22,322,1172.00,,5,"0"
Verdenshistorier for børn - oldtid og middelalder,Maria Helleberg,Dianna Vangsaa,"2019-11-15",Danish,4,52,292,233.00,,5,"0"
To Fly Among the Stars,Rebecca Siegel,Saskia Maarleveld,"2020-03-03",English,7,2,422,656.00,,5,"0"
Who Was Coretta Scott King?,"Gail Herman, Who HQ",Adenrele Ojo,"2019-12-03",English,1,4,64,351.00,,5,"0"
The Fierce 44,The Staffof The Undefeated,J. D. Jackson,"2019-12-24",English,1,42,102,1172.00,,5,"0"
Unsere Zukunft ist jetzt!,"Claus Hecking, Charlotte Schönberger, Ilka Sokolowski","Muriel Bielenberg, Hans Löw","2019-09-20",German,1,18,78,233.00,,5,"0"
Skoczkowie,Jarosław Kaczmarek,Robert Michalak,"2019-09-09",Polish,3,19,199,99.00,,5,"0"
"The Age of Exploration (Epic Fails, Book 4)","Ben Thompson, Erik Slader",L. J. Ganser,"2019-06-10",English,1,49,109,305.00,,5,"0"
Oscar Wilde - A Study,André Gide,"Cate Barratt, Denis Daly","2019-05-31",English,1,11,71,286.00,,5,"0"
Rocking the System,Siobhán Parkinson,"Alison McKenna, Gráinne Gillis, Caroline Lennon","2019-04-16",English,4,26,266,227.00,,5,"0"
Fly Girls (Young Readers Edition),Keith O'Brien,Erin Bennett,"2019-04-04",English,5,16,316,703.00,,5,"0"
"O Captain, My Captain",Robert Burleigh,"Chris Lutkin, David Bendena","2019-04-02",English,1,7,67,234.00,,5,"0"
Enemy Child,Andrea Warren,Caroline McLaughlin,"2019-04-30",English,3,53,233,1172.00,,5,"0"
Susan B. Anthony,Teri Kanefield,Joyce Bean,"2019-03-26",English,3,54,234,1172.00,,5,"0"
Storie della buonanotte per bambine ribelli 2,"Elena Favilli, Francesca Cavallo","Luciana Littizzetto, Paola Turci, Jasmine Trinca","2019-03-08",Italian,3,29,209,574.00,,5,"0"
Storie della buonanotte per bambine ribelli,"Elena Favilli, Francesca Cavallo","Luciana Littizzetto, Paola Turci, Jasmine Trinca","2019-02-13",Italian,3,6,186,574.00,,5,"0"
Who Was Harriet Tubman?,"Yona Zeldis McDonough, Who HQ",Adenrele Ojo,"2019-09-03",English,1,5,65,351.00,,5,"0"
Who Was Ferdinand Magellan?,Sydelle Kramer,Kevin Pariseau,"2019-03-26",English,1,3,63,351.00,,5,"0"
Who Was Thomas Jefferson?,Dennis Brindell Fradin,Kevin Pariseau,"2019-03-26",English,1,4,64,351.00,,5,"0"
Who Was Helen Keller?,Gare Thompson,Kevin Pariseau,"2019-03-26",English,1,1,61,351.00,,5,"0"
Who Was John F. Kennedy?,Yona Zeldis McDonough,Kevin Pariseau,"2019-03-26",English,1,5,65,351.00,,5,"0"
Die geheimnisvolle Welt des Leonardo da Vinci,Christine Schulz-Reiss,Sebastian Rudolph,"2019-02-13",German,1,4,64,300.00,,5,"0"
The Life of Horatio Lord Nelson,Robert Southey,Andrea Giordani,"2019-01-22",English,10,37,637,836.00,,5,"0"
"The Wright Brothers (Epic Fails, Book 1)","Ben Thompson, Erik Slader",L. J. Ganser,"2018-12-20",English,1,17,77,305.00,,5,"0"
